id,observed_on,year,scientific_name,common_name,quality_grade,latitude,longitude,place_guess,url
8499733,2017-10-21,2017,Lycorma delicatula,Spotted Lanternfly,research,40.3573916667,-75.58248,"155 Congo Niantic Rd, Douglass, PA, US",https://www.inaturalist.org/observations/8499733
8504240,2017-10-15,2017,Lycorma delicatula,Spotted Lanternfly,research,40.174105,-75.584155,percheron drive spring city pa,https://www.inaturalist.org/observations/8504240
8508671,2017-10-16,2017,Lycorma delicatula,Spotted Lanternfly,research,40.1670633333,-75.5799033333,"606 Hoffman Blvd, East Vincent, PA, US",https://www.inaturalist.org/observations/8508671
8509009,2017-10-21,2017,Lycorma delicatula,Spotted Lanternfly,research,40.1352933117,-75.5176207068,"2 N Main St, Phoenixville, PA, US",https://www.inaturalist.org/observations/8509009
8509806,2017-10-22,2017,Lycorma delicatula,Spotted Lanternfly,research,40.2036283333,-75.3925166667,"Evansburg State Park, Skippack, PA, US",https://www.inaturalist.org/observations/8509806
8592631,2017-10-24,2017,Lycorma delicatula,Spotted Lanternfly,research,40.6224798644,-75.3818948195,"600–626 Main St, Bethlehem, PA, US",https://www.inaturalist.org/observations/8592631
8657659,2017-11-02,2017,Lycorma delicatula,Spotted Lanternfly,research,40.481831613,-75.5155368057,"5241 Stansfield Dr, Upper Milford, PA, US",https://www.inaturalist.org/observations/8657659
8669690,2017-11-03,2017,Lycorma delicatula,Spotted Lanternfly,research,40.4168663025,-75.920501709,"5370 Allentown Pike, Temple, PA 19560, USA",https://www.inaturalist.org/observations/8669690
8714529,2017-09-15,2017,Lycorma delicatula,Spotted Lanternfly,research,40.4293710207,-75.3371014595,"Quakertown, Bucks County, PA, USA",https://www.inaturalist.org/observations/8714529
8750957,2017-11-10,2017,Lycorma delicatula,Spotted Lanternfly,research,40.1927833333,-75.457175,"Ursinus College, Collegeville, PA, US",https://www.inaturalist.org/observations/8750957
8854202,2017-11-17,2017,Lycorma delicatula,Spotted Lanternfly,research,40.1874423019,-75.6533995113,"292 Pigeon Creek Rd, South Coventry, PA, US",https://www.inaturalist.org/observations/8854202
8935547,2017-11-25,2017,Lycorma delicatula,Spotted Lanternfly,research,40.4465551519,-75.4580497742,"Lehigh County, PA, USA",https://www.inaturalist.org/observations/8935547
9029968,2017-12-03,2017,Lycorma delicatula,Spotted Lanternfly,research,40.145583866,-75.6219861492,"1692 Hollow Rd, West Vincent, PA, US",https://www.inaturalist.org/observations/9029968
9220160,2017-12-19,2017,Lycorma delicatula,Spotted Lanternfly,research,40.4282333333,-75.339295,"1237 Quakers Way, Richland, PA, US",https://www.inaturalist.org/observations/9220160
9473026,2018-01-14,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2707009403,-75.4653782725,"37 Spring Mount Rd, Lower Frederick, PA, US",https://www.inaturalist.org/observations/9473026
10912226,2015-11-07,2015,Lycorma delicatula,Spotted Lanternfly,research,40.41152,-75.65998,"118–248 Landis Store Rd, Boyertown, PA, US",https://www.inaturalist.org/observations/10912226
12154342,2017-08-22,2017,Lycorma delicatula,Spotted Lanternfly,research,40.4494939993,-75.6156047054,"69 Hunter Forge Rd, Barto, PA, US",https://www.inaturalist.org/observations/12154342
12686957,2018-05-21,2018,Lycorma delicatula,Spotted Lanternfly,research,40.143786166700004,-75.509155,"Schuylkill Canal Park, Phoenixville, PA, US",https://www.inaturalist.org/observations/12686957
12756958,2018-05-23,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3232790658,-75.918419475,"1005 S 9th St, Reading, PA, US",https://www.inaturalist.org/observations/12756958
12772154,2018-05-24,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2340597033,-75.6870550594,"1370 W Schuylkill Rd, Pottstown, PA, US",https://www.inaturalist.org/observations/12772154
12816488,2018-05-25,2018,Lycorma delicatula,Spotted Lanternfly,research,40.446945,-75.867675,"408 Troy Dr, Blandon, PA, US",https://www.inaturalist.org/observations/12816488
12968943,2018-05-29,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1874100978,-75.6536595128,"282 Pigeon Creek Rd, Pottstown, PA, US",https://www.inaturalist.org/observations/12968943
13125052,2018-06-04,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3356483,-75.9268747,"Reading, PA, USA",https://www.inaturalist.org/observations/13125052
13138539,2018-06-04,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2876657766,-75.8771898096,"1130 Old River Rd, Birdsboro, PA, US",https://www.inaturalist.org/observations/13138539
13146105,2018-06-04,2018,Lycorma delicatula,Spotted Lanternfly,research,40.25687,-75.6594916667,"81 Robinson St, Pottstown, PA, US",https://www.inaturalist.org/observations/13146105
13232666,2018-06-04,2018,Lycorma delicatula,Spotted Lanternfly,research,40.4214383333,-75.449295,"1922–1998 Klines Mill Rd, Pennsburg, PA, US",https://www.inaturalist.org/observations/13232666
13232675,2018-06-04,2018,Lycorma delicatula,Spotted Lanternfly,research,40.4214383333,-75.449295,"1922–1998 Klines Mill Rd, Pennsburg, PA, US",https://www.inaturalist.org/observations/13232675
13299828,2018-06-10,2018,Lycorma delicatula,Spotted Lanternfly,research,40.4962858233,-75.2298754502,"Pennsylvania, US",https://www.inaturalist.org/observations/13299828
13435884,2018-06-14,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2326063672,-75.9051456862,"67 Golf Course Rd, Mohnton, PA, US",https://www.inaturalist.org/observations/13435884
13457209,2018-06-15,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2357773445,-75.4559689383,"41 Maple Ave, Collegeville, PA, US",https://www.inaturalist.org/observations/13457209
13459646,2018-06-15,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3125247383,-75.4359346256,"2841 Barndt Rd, Harleysville, PA 19438, USA",https://www.inaturalist.org/observations/13459646
13473485,2018-06-14,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2394092915,-75.5142373849,"Limerick Township, PA",https://www.inaturalist.org/observations/13473485
13626361,2018-06-20,2018,Lycorma delicatula,Spotted Lanternfly,research,39.9328768166,-76.2254609804,"305 Pennsy Rd, New Providence, PA, US",https://www.inaturalist.org/observations/13626361
13629635,2018-06-20,2018,Lycorma delicatula,Spotted Lanternfly,research,40.33807118,-75.4220015,"120 King Rd, Green Lane, PA 18054, USA",https://www.inaturalist.org/observations/13629635
13673549,2018-06-16,2018,Lycorma delicatula,Spotted Lanternfly,research,40.4283616667,-75.3392633333,"1239 Quakers Way, Quakertown, PA, US",https://www.inaturalist.org/observations/13673549
13679057,2018-06-22,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3124720729,-75.435734801,"2841 Barndt Rd, Harleysville, PA 19438, USA",https://www.inaturalist.org/observations/13679057
13681771,2018-06-14,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2393079926,-75.5145398595,"Montgomery County, PA, USA",https://www.inaturalist.org/observations/13681771
13749687,2018-06-24,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2880546265,-75.4087813665,"337 Indian Creek Rd, Harleysville, PA, US",https://www.inaturalist.org/observations/13749687
13781815,2018-06-25,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2216353563,-75.3858041391,"3581 W Skippack Pike, Harleysville, PA 19438, USA",https://www.inaturalist.org/observations/13781815
13871363,2018-06-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3645399713,-75.9450965358,"Berkshire Country Club, Reading, PA, US",https://www.inaturalist.org/observations/13871363
14001832,2018-07-02,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2358810753,-75.0770578889,"Bucks County, US-PA, US",https://www.inaturalist.org/observations/14001832
14073012,2018-07-05,2018,Lycorma delicatula,Spotted Lanternfly,research,40.5117442,-76.1042693,"Berks County, US-PA, US",https://www.inaturalist.org/observations/14073012
14176540,2018-07-08,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2591056824,-75.8210372925,"818 Madison St, Birdsboro, PA 19508, USA",https://www.inaturalist.org/observations/14176540
14260855,2018-07-11,2018,Lycorma delicatula,Spotted Lanternfly,research,40.7892341614,-75.6080856323,"Winter Trail, Walnutport, PA 18088, USA",https://www.inaturalist.org/observations/14260855
14285312,2018-07-12,2018,Lycorma delicatula,Spotted Lanternfly,research,40.31998414,-75.29099185,"Bucks County, US-PA, US",https://www.inaturalist.org/observations/14285312
14299557,2018-07-12,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3506654,-75.9848246,"1240 Commerce Dr, Reading, PA 19610, USA",https://www.inaturalist.org/observations/14299557
14393284,2018-07-15,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1644583333,-75.482505,"600–698 Commerce Dr, Collegeville, PA, US",https://www.inaturalist.org/observations/14393284
14394617,2018-07-15,2018,Lycorma delicatula,Spotted Lanternfly,research,40.5328403533,-75.6242927617,"8547 Pathfinder Rd, Breinigsville, PA, US",https://www.inaturalist.org/observations/14394617
14442675,2018-07-17,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2166581201,-75.7862731163,"French Creek State Park, Douglassville, PA, US",https://www.inaturalist.org/observations/14442675
14484132,2018-07-18,2018,Lycorma delicatula,Spotted Lanternfly,research,40.4867275511,-75.5073971626,"4710 Churchview Rd, Zionsville, PA, US",https://www.inaturalist.org/observations/14484132
14491880,2018-07-18,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3356483,-75.9268747,"Reading, PA, USA",https://www.inaturalist.org/observations/14491880
14498900,2018-07-18,2018,Lycorma delicatula,Spotted Lanternfly,research,40.505510464,-75.40297106,"6994 Gun Club Rd, Coopersburg, PA, US",https://www.inaturalist.org/observations/14498900
14553796,2018-07-20,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3127742592,-75.4364589974,"2841 Barndt Rd, Harleysville, PA 19438, USA",https://www.inaturalist.org/observations/14553796
14573393,2018-07-21,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1988583524,-75.7915961277,"French Creek State Park, Elverson, PA, US",https://www.inaturalist.org/observations/14573393
14596003,2018-07-20,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2162976005,-75.5511403214,"Linfield Industrial Park, Royersford, PA, US",https://www.inaturalist.org/observations/14596003
14638030,2018-07-17,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3089033333,-75.4361883333,"1498 Old Sumneytown Pike, Harleysville, PA, US",https://www.inaturalist.org/observations/14638030
14642655,2018-07-23,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3005746752,-75.8728766163,"13 Cranberry Rdg, Reading, PA, US",https://www.inaturalist.org/observations/14642655
14689663,2018-07-24,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3613539722,-75.9106937086,"Albright College, Reading, PA, US",https://www.inaturalist.org/observations/14689663
14748688,2018-07-26,2018,Lycorma delicatula,Spotted Lanternfly,research,40.7360842634,-75.308600803,"343 S Cedar St, Nazareth, PA, US",https://www.inaturalist.org/observations/14748688
14829105,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2569416667,-75.3882,"281 Morris Rd, Harleysville, PA, US",https://www.inaturalist.org/observations/14829105
14836256,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2526456273,-75.9183354994,"19540, Mohnton, PA, US",https://www.inaturalist.org/observations/14836256
14847363,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.5039714701,-75.2644472385,"Pennsylvania, US",https://www.inaturalist.org/observations/14847363
14848315,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.5110583333,-76.0996933333,"Berks County, US-PA, US",https://www.inaturalist.org/observations/14848315
14848355,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.510885,-76.099695,"Berks County, US-PA, US",https://www.inaturalist.org/observations/14848355
14849998,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1385833333,-75.3279033333,"2404 Swede Rd, Norristown, PA, US",https://www.inaturalist.org/observations/14849998
14851673,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3074403119,-75.308875642,"11 Thornton Ct, Souderton, PA, US",https://www.inaturalist.org/observations/14851673
14851694,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3073606852,-75.3086502194,"11 Thornton Ct, Souderton, PA, US",https://www.inaturalist.org/observations/14851694
14851699,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3074033804,-75.3087691731,"11 Thornton Ct, Souderton, PA, US",https://www.inaturalist.org/observations/14851699
14851724,2018-07-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3074029148,-75.3087081665,"11 Thornton Ct, Souderton, PA, US",https://www.inaturalist.org/observations/14851724
14986316,2018-07-30,2018,Lycorma delicatula,Spotted Lanternfly,research,40.551759,-76.08295,"Berks County, US-PA, Appalachian National Scenic Trail, US",https://www.inaturalist.org/observations/14986316
15024170,2018-07-30,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2549326153,-75.5113795268,"Montgomery County, PA, USA",https://www.inaturalist.org/observations/15024170
15024569,2018-07-21,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2490883333,-75.3147133333,"700 Troxel Rd, Lansdale, PA, US",https://www.inaturalist.org/observations/15024569
15061420,2018-08-02,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1673071062,-75.442268857,"Evansburg State Park, Collegeville, PA, US",https://www.inaturalist.org/observations/15061420
15103460,2018-08-04,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3011883333,-75.934875,"9–199 Antler Holw, Reading, PA, US",https://www.inaturalist.org/observations/15103460
15107788,2018-08-04,2018,Lycorma delicatula,Spotted Lanternfly,research,40.0951275075,-75.4660313395,"1970 Valley Forge Rd, Phoenixville, PA, US",https://www.inaturalist.org/observations/15107788
15150880,2018-08-05,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2915445619,-75.2640965581,"1515 Bethlehem Pike, Hatfield, PA 19440, USA",https://www.inaturalist.org/observations/15150880
15172495,2018-08-06,2018,Lycorma delicatula,Spotted Lanternfly,research,40.11868816,-75.28353558,"610 Hickory Rd, Plymouth Meeting, PA 19462, USA",https://www.inaturalist.org/observations/15172495
15179858,2018-08-06,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2156716667,-75.1281278333,"325 Rettop Pl, Warminster, PA, US",https://www.inaturalist.org/observations/15179858
15183726,2018-08-06,2018,Lycorma delicatula,Spotted Lanternfly,research,40.830351058,-75.6896270705,"18235, Lehighton, PA, US",https://www.inaturalist.org/observations/15183726
15185692,2018-08-06,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1626586914,-75.463973999,"Loop Trail, Collegeville, PA 19426, USA",https://www.inaturalist.org/observations/15185692
15191901,2018-08-06,2018,Lycorma delicatula,Spotted Lanternfly,research,40.086643,-75.444093,"Wayne Monument, Valley Forge National Historical Park",https://www.inaturalist.org/observations/15191901
15195023,2018-08-07,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3098721311,-75.1652031683,"Bucks County, US-PA, US",https://www.inaturalist.org/observations/15195023
15211014,2018-08-07,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1283901418,-75.6729306747,"930 Birchrun Rd, Chester Springs, PA, US",https://www.inaturalist.org/observations/15211014
15244680,2018-08-08,2018,Lycorma delicatula,Spotted Lanternfly,research,40.5050218245,-75.1983526815,"2476 Church Ln, Kintnersville, PA, US",https://www.inaturalist.org/observations/15244680
15269556,2018-08-09,2018,Lycorma delicatula,Spotted Lanternfly,research,40.279548,-75.387121,"Harleysville, PA",https://www.inaturalist.org/observations/15269556
15273525,2018-08-09,2018,Lycorma delicatula,Spotted Lanternfly,research,40.6504840664,-75.4357200488,"Lehigh County, US-PA, US",https://www.inaturalist.org/observations/15273525
15303176,2018-08-10,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2057619305,-75.3104012907,"714 Aldrin Ave, Lansdale, PA, US",https://www.inaturalist.org/observations/15303176
15311054,2018-08-08,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2545261833,-75.5119644999,"Montgomery County, PA, USA",https://www.inaturalist.org/observations/15311054
15319588,2018-08-11,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1262280299,-75.6609362551,"Chester County, US-PA, US",https://www.inaturalist.org/observations/15319588
15328131,2018-08-11,2018,Lycorma delicatula,Spotted Lanternfly,research,40.490905,-75.4509966667,"6889 Chestnut Hill Church Rd, Coopersburg, PA, US",https://www.inaturalist.org/observations/15328131
15356465,2018-08-12,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1954216667,-75.479575,"530 Hancock Ct, Trappe, PA, US",https://www.inaturalist.org/observations/15356465
15384057,2018-08-11,2018,Lycorma delicatula,Spotted Lanternfly,research,40.5301347669,-75.859165031,"Berks County, US-PA, US",https://www.inaturalist.org/observations/15384057
15437494,2018-08-14,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2849023322,-75.453530717,"1237 Clemmers Mill Rd, Schwenksville, PA, US",https://www.inaturalist.org/observations/15437494
15459083,2018-08-15,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3768415332,-75.3027246118,"Pennsylvania, US",https://www.inaturalist.org/observations/15459083
15504969,2018-08-16,2018,Lycorma delicatula,Spotted Lanternfly,research,40.4473693865,-75.3406804736,"18951, Quakertown, PA, US",https://www.inaturalist.org/observations/15504969
15536443,2018-08-15,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2528107667,-75.4749329201,"Montgomery County, PA, USA",https://www.inaturalist.org/observations/15536443
15569276,2018-08-17,2018,Lycorma delicatula,Spotted Lanternfly,research,40.49284901,-75.81621919,"266 Schuler Rd, Fleetwood, PA 19522, USA",https://www.inaturalist.org/observations/15569276
15569597,2018-08-16,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2845993707,-75.4532744012,"1237 Clemmers Mill Rd, Schwenksville, PA, US",https://www.inaturalist.org/observations/15569597
15577107,2018-08-17,2018,Lycorma delicatula,Spotted Lanternfly,research,40.36946954,-75.93523768,"Centre Avenue & Pottsville Pike, Reading, PA 19605, USA",https://www.inaturalist.org/observations/15577107
15581009,2018-08-17,2018,Lycorma delicatula,Spotted Lanternfly,research,40.5329712257,-75.7766655896,"149 Alex Ct, Kutztown, PA, US",https://www.inaturalist.org/observations/15581009
15592073,2018-08-17,2018,Lycorma delicatula,Spotted Lanternfly,research,40.4351201887,-75.347167505,"318 S 9th St, Quakertown, PA, US",https://www.inaturalist.org/observations/15592073
15619563,2018-08-18,2018,Lycorma delicatula,Spotted Lanternfly,research,40.28440654,-75.4480563,"1231 Clemmers Mill Rd, Schwenksville, PA 19473, USA",https://www.inaturalist.org/observations/15619563
15630414,2018-08-18,2018,Lycorma delicatula,Spotted Lanternfly,research,40.588094364,-75.7105944213,"9750 Commerce Cir, Kutztown, PA, US",https://www.inaturalist.org/observations/15630414
15645665,2018-08-19,2018,Lycorma delicatula,Spotted Lanternfly,research,40.245374,-75.64963,"Pottstown, Pennsylvania",https://www.inaturalist.org/observations/15645665
15648709,2018-08-18,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2367497002,-75.5728287464,"Philadelphia Premium Outlets, Pottstown, PA, US",https://www.inaturalist.org/observations/15648709
15699449,2018-08-18,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2119456776,-75.4292340709,"Montgomery County, PA, USA",https://www.inaturalist.org/observations/15699449
15718943,2018-08-18,2018,Lycorma delicatula,Spotted Lanternfly,research,40.213702981,-75.7809735288,"Berks County, PA, USA",https://www.inaturalist.org/observations/15718943
15734355,2018-08-20,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3036319068,-75.4573204844,"2110 Hendricks Rd, Harleysville, PA, US",https://www.inaturalist.org/observations/15734355
15735214,2018-08-17,2018,Lycorma delicatula,Spotted Lanternfly,research,40.198122,-75.790786,french creek state park,https://www.inaturalist.org/observations/15735214
15735352,2018-08-19,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2069,-75.773333,hopewell furence,https://www.inaturalist.org/observations/15735352
15751098,2018-08-21,2018,Lycorma delicatula,Spotted Lanternfly,research,40.0374645219,-75.6913864948,"520 Baintree Run, Downingtown, PA, US",https://www.inaturalist.org/observations/15751098
15812718,2018-08-22,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2750602876,-75.357860826,"Pennsylvania, US",https://www.inaturalist.org/observations/15812718
15818249,2018-08-23,2018,Lycorma delicatula,Spotted Lanternfly,research,40.5963216667,-75.51007,"Muhlenberg College, Allentown, PA, US",https://www.inaturalist.org/observations/15818249
15875447,2018-08-25,2018,Lycorma delicatula,Spotted Lanternfly,research,40.58026176,-75.53191049,"Lehigh County, US-PA, US",https://www.inaturalist.org/observations/15875447
15877225,2018-08-25,2018,Lycorma delicatula,Spotted Lanternfly,research,40.5164391853,-75.5517181948,"50 N Poplar St, Macungie, PA, US",https://www.inaturalist.org/observations/15877225
15883383,2018-08-25,2018,Lycorma delicatula,Spotted Lanternfly,research,40.05492128,-75.01309305,"3780 Lilac Ln, Philadelphia, PA 19136, USA",https://www.inaturalist.org/observations/15883383
15896329,2018-08-28,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2098920922,-75.2794183418,"138 W Walnut St, North Wales, PA 19454, USA",https://www.inaturalist.org/observations/15896329
15910703,2018-08-16,2018,Lycorma delicatula,Spotted Lanternfly,research,40.3904259393,-75.4961292325,"765 Hunter Dr, Pennsburg, PA, US",https://www.inaturalist.org/observations/15910703
15920297,2018-08-26,2018,Lycorma delicatula,Spotted Lanternfly,research,40.2645333375,-75.6509463372,"State Route 100, Pottstown, PA, US",https://www.inaturalist.org/observations/15920297
15924685,2018-08-26,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1932976543,-75.4561869201,"Ursinus College, Collegeville, PA, US",https://www.inaturalist.org/observations/15924685
15933786,2018-08-23,2018,Lycorma delicatula,Spotted Lanternfly,research,40.1635626968,-75.2118406504,"1151 Hagues Mill Rd, Ambler, PA, US",https://www.inaturalist.org/observations/15933786
