Key,Author,Title,Journal,Publication Year,Language,Paper Topic,Relevant?,Observation design and data generation,Annotation and metadata development,Data access and filtering,Question formulation,Analysis and interpretation,Critical evaluation of limitations,None,Other
532HNFRG,"Koen, Erin L; Newton, Erica J",Outreach increases detections of an invasive species in a crowdsourced monitoring program,Biological Invasions,2021,english,Education/Community Engagement,No,,,,,,,,
5D6NDF7M,"Marcen?, Corrado; Padull?s Cubino, Josep; Chytr?, Milan; Genduso, Emanuele; Gristina, Alessandro Silvestre; La Rosa, Alfonso; Salemi, Dario; Landucci, Flavia; Pasta, Salvatore; Guarino, Riccardo",Plant hunting: exploring the behaviour of amateur botanists in the field,Biodiversity and Conservation,2021,english,Education/Community Engagement,No,,,,,,,,
5QWA2KH7,"Pawson, SM; Sullivan, JJ; Grant, A",Expanding general surveillance of invasive species by integrating citizens as both observers and identifiers,Journal of Pest Science,2020,english,"Education/Community Engagement, Data Quality/Comparison",No,,,,,,,,
5VX8JDWN,"Herodotou, Christothea; Ismail, Nashwa; I. Benavides Lahnstein, Ana; Aristeidou, Maria; Young, Alison N; Johnson, Rebecca F; Higgins, Lila M; Ghadiri Khanaposhtani, Maryam; Robinson, Lucy D; Ballard, Heidi L",Young people in iNaturalist: a blended learning framework for biodiversity monitoring,"International Journal of Science Education, Part B",2023,english,Education/Community Engagement,No,,,,,,,,
5XW727NG,"Young, Alison N; Johnson, Rebecca F; Ricard, Elise; Wyatt, Ryan",Life responds: Citizen science to document behavior changes in plants and animals during the 2017 total solar eclipse,ASP Conference Series,2017,english,"Biology/Behavior, Education/Community Engagement",Yes,Yes,Yes,No,No,No,No,No,No
67Z77HJS,"Peregrym, Mykyta; Turisovˇ, Ingrid; Tashev, Alexander; Kõnya, Erika P?nzesn?; Matsai, Nataliia; Havryliuk, Yuliia",Using Citizen Science Tools for Distance Field Study of Botanical Cycle Disciplines in Times of Pandemic and Beyond,Journal of Teacher Education for Sustainability,2022,english,Education/Community Engagement,Yes,Yes,Yes,No,No,No,No,No,No
75MCH7SM,"Monfils, Anna K; Krimmel, Erica R; Linton, Debra L; Marsico, Travis D; Morris, Ashley B; Ruhfel, Brad R",Collections Education: The Extended Specimen and Data Acumen,BioScience,2022,english,Education/Community Engagement,Yes,Yes,Yes,No,No,No,No,No,No
7DRPM8MN,"Pizarro, Manuel; Mujika, Ane; Quintana-Buil, Marta; Miranda, Hector; Gomez, Daniel; Fuentes, Ines; Martinez, Javier; Ibanez, Neus; Nualart, Neus; Begona Garcia, Maria",Learning about plants and sharing observations with new technologies. FLORAPYR and FLORAMON with iNaturalist,ECOSISTEMAS,2022,spanish,"Education/Community Engagement, Data Quality/Comparison",No,,,,,,,,
7KZVGEX3,"Hitchcock, Colleen; Sullivan, Jon; O'Donnell, Kelly","Cultivating bioliteracy, biodiscovery, data literacy, and ecological monitoring in undergraduate courses with iNaturalist",Citizen Science: Theory and Practice,2021,english,Education/Community Engagement,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
7NL83BI9,"Killen, Heather; Chang, Lucy; Soul, Laura; Barclay, Richard",Combining Physical and Digital Data Collection for Citizen Science Climate Research,Citizen Science: Theory and Practice,2022,english,"Biodiversity/Population Assessment, Biology/Behavior, Education/Community Engagement",No,,,,,,,,
7SE3P9RC,"PELAYO, TATIANA VILLARINO; Pisa, Mario Mairal",Proyecto SICAF: implementando una herramienta para la conservaciõn de la flora vascular espa?ola amenazada mediante ciencia ciudadana,Conservaciõn Vegetal,2021,spanish,"Education/Community Engagement, Biodiversity/Population Assessment, Data Quality/Comparison",No,,,,,,,,
8THC9WAY,"Ciceoi, Roxana; Badulescu, LA; Gutue, Minodora; Mardare, ES; Pomohaci, Cristian Mihai",Citizen-generated data on invasive alien species in Romania: Trends and challenges,Acta zoologica bulgarica,2017,english,Education/Community Engagement,No,,,,,,,,
8YNFHUBV,"Unger, Shem; Rollins, Mark; Tietz, Allison; Dumais, Hailey",iNaturalist as an engaging tool for identifying organisms in outdoor activities,Journal of Biological Education,2021,english,"Data Quality/Comparison, Education/Community Engagement",Yes,Yes,Yes,No,No,No,No,No,No
8ZLLK2ES,"Pollock, Nicholas B; Howe, Natalie; Irizarry, Ivelisse; Lorusso, Nicholas; Kruger, Ariel; Himmler, Kurtis; Struwe, Lena",Personal BioBlitz: A new way to encourage biodiversity discovery and knowledge in K?99 education and outreach,BioScience,2015,english,Education/Community Engagement,No,,,,,,,,
9N56CH5V,"Souther, Sara; Randall, Vincent; Lyndon, Nanebah",The Use of Citizen Science to Achieve Multivariate Management Goals on Public Lands,Diversity,2021,english,"Data Quality/Comparison, Education/Community Engagement, Species Distribution/Range",No,,,,,,,,
9QBZTIPN,"Monge-Nˇjera, Juliˇn",What can we learn about wildlife killed by vehicles from a citizen science project? A comparison of scientific and amateur tropical roadkill records,UNED Research Journal,2018,english,"Education/Community Engagement, Other",No,,,,,,,,
A2GN45UQ,"Andreone, Franco; Loarie, Scott; Van der Meijden, Arie; Nieto, Sandra; Vences, Miguel",Sahonagasy. org: A Web Platform Implementing Information Management and Citizen-Science for the Conservation of Malagasy Amphibians,FrogLog (the Journal of the IUCN Amphibian Specialist Group),2013,english,Education/Community Engagement,No,,,,,,,,
B6NAHI8V,"Nguyen, Tuan; Malina, Robert; Mokas, Ilias; Papakonstantinou, Antonis; Polyzos, Orestes; Vanhove, Maarten PM",WASP: the World Archives of Species Perception,Database,2023,english,Education/Community Engagement,No,,,,,,,,
BREN3UC6,"Gerhart, Laci M; Jadallah, Christopher C; Angulo, Sarah S; Ira, Gregory C",Teaching an experiential field course via online participatory science projects: A COVID-19 case study of a UC California Naturalist course,Ecology and Evolution,2021,english,Education/Community Engagement,Yes,Yes,Yes,Yes,No,Yes,No,No,No
BZZ77UUS,"Brown, Emma; Maynard, Brian",Field Botany in the Time of COVID-19,Arnoldia,2021,english,Education/Community Engagement,Yes,Yes,Yes,No,No,No,No,No,No
CEWYM8ED,"Matassa, Catherine M; Hitchcock, Colleen B",Bioblitz Assessment of Rocky Intertidal Biodiversity within the Boston Harbor Islands National Recreation Area,Northeastern naturalist,2021,english,"Biodiversity/Population Assessment, Education/Community Engagement, Species Distribution/Range",No,,,,,,,,
D7JREW3L,"Crimmins, Theresa M; Posthumus, Erin; Schaffer, Sara; Prudic, Kathleen L",COVID-19 impacts on participation in large scale biodiversity-themed community science projects in the United States,Biological Conservation,2021,english,Education/Community Engagement,No,,,,,,,,
DH6T64F6,"Chandler, Mark; See, Linda; Copas, Kyle; Bonde, Astrid MZ; Lõpez, Bernat Claramunt; Danielsen, Finn; Legind, Jan Kristoffer; Masinde, Siro; Miller-Rushing, Abraham J; Newman, Greg; others",Contribution of citizen science towards international biodiversity monitoring,Biological conservation,2017,english,"Education/Community Engagement, Other",No,,,,,,,,
DUWSG5U6,"Lorke, Julia; Ballard, Heidi L; Miller, Annie E; Swanson, Rebecca D; Pratt-Taweh, Sasha; Jennewein, Jessie N; Higgins, Lila; Johnson, Rebecca F; Young, Alison N; Khanaposhtani, Maryam Ghadiri; others",Step by step towards citizen science?deconstructing youth participation in BioBlitzes,"JCOM, Journal of science communication",2021,english,Education/Community Engagement,No,,,,,,,,
EIQ9AMQF,"Ghadiri Khanaposhtani, Maryam; Ballard, Heidi L; Lorke, Julia; Miller, Annie E; Pratt-Taweh, Sasha; Jennewein, Jessie; Robinson, Lucy D; Higgins, Lila; Johnson, Rebecca F; Young, Alison N; others",Examining youth participation in ongoing community and citizen science programs in 3 different out-of-school settings,Environmental Education Research,2022,english,Education/Community Engagement,No,,,,,,,,
EP7W2M5M,"Mech, Angela; Rosenberger, Derek; Fanning, Philip; Riggins, John J; Aukema, Brian; Hartshorn, Jess",There's an app for that: Teaching entomology in the online age,Natural Sciences Education,2022,english,"Education/Community Engagement, Other",Yes,Yes,Yes,No,No,No,No,No,No
EYW23Z7H,"Kulhavy, David; Unger, Daniel; Hung, I; Schalk, Chris; Zhang, Yanli; Viegut, Reid; others",Integrating Natural Resources Education and Citizen Science Communication through the Use of Unmanned Aerial Systems (Drones).,International Journal of Higher Education,2022,english,Education/Community Engagement,No,,,,,,,,
F7VQQJLX,"Raschke, Aireona B; Pegram, Kimberly V; Melkonoff, Natalie A; Davis, Jeny; Blackwell, Steven A",Collaborative Conservation by Botanical Gardens: Unique Opportunities for Local to Global Impacts,Journal of Zoological and Botanical Gardens,2022,english,"Education/Community Engagement, Species Distribution/Range",No,,,,,,,,
FNH5TUYR,"Kritsky, Gene",One for the books: The 2021 emergence of the periodical Cicada Brood X,American Entomologist,2021,english,"Species Distribution/Range, Climate Change/Environmental Impact, Education/Community Engagement, Data Quality/Comparison",No,,,,,,,,
FV9CQG6R,"Winton, R Scott; Ocampo-Pe?uela, Natalia; Cagle, Nicolette",Geo-referencing bird-window collisions for targeted mitigation,PeerJ,2018,english,"Education/Community Engagement, Data Quality/Comparison",No,,,,,,,,
GDHMPASC,"Niemiller, K Denise Kendall; Davis, Mark A; Niemiller, Matthew L",Addressing ?biodiversity naivety?through project-based learning using iNaturalist,Journal for Nature Conservation,2021,english,Education/Community Engagement,Yes,Yes,Yes,No,No,No,No,No,No
GF3H5X95,"Kishimoto, Keidai; Kobori, Hiromi",COVID-19 pandemic drives changes in participation in citizen science project ?City Nature Challenge? in Tokyo,Biological Conservation,2021,english,Education/Community Engagement,No,,,,,,,,
GV8YKBGG,"Paradise, Christopher; Bartkovich, Louisa",Integrating citizen science with online biological collections to promote species and biodiversity literacy in an entomology course,Citizen Science: Theory and Practice,2021,english,Education/Community Engagement,No,,,,,,,,
HS5QVA4Z,"Neilson, John; Maingon, Loys; Lavdovsky, Natasha","Without an over-arching biodiversity protection act, what protections exist for biodiversity in British Columbia? A case study of Oldgrowth Specklebelly Lichen (Pseudocyphellaria rainierensis)",The Canadian Field-Naturalist,2022,english,"Climate Change/Environmental Impact, Education/Community Engagement, Species Distribution/Range",No,,,,,,,,
HSZFXPZL,"Soteropoulos, Diana L; De Bellis, Caitlin R; Witsell, Theo",Citizen science contributions to address biodiversity loss and conservation planning in a rapidly developing region,Diversity,2021,english,"Education/Community Engagement, Species Distribution/Range, Biodiversity/Population Assessment",No,,,,,,,,
JEUZYI4Z,"Smith, Walter H; Slemp, Skyla L; Stanley, Conner D; Blackburn, Melissa N; Wayland, Jack","Combining citizen science with traditional biotic surveys to enhance knowledge regarding the natural history of secretive species: notes on the geographic distribution and status of the green salamander (Aneides aeneus) in the Cumberland Mountains of Virginia, USA",Reptiles & Amphibians,2015,english,Education/Community Engagement,No,,,,,,,,
JFVJFEES,"Catling, Paul M; Kostiuk, Brenda; Heron, Jennifer; Jimenez, Runel; Chapman, Monique; Gamiet, Sharmin; Sterenberg, Velma",Highlights from the Northwest Territories BioBlitzes,The Canadian Field-Naturalist,2017,english,"Species Distribution/Range, Education/Community Engagement",No,,,,,,,,
JKDADI7D,"Callaghan, Corey T; Mesaglio, Thomas; Ascher, John S; Brooks, Thomas M; Cabras, Analyn A; Chandler, Mark; Cornwell, William K; Cristõbal R≠os-Mˇlaver, Indiana; Dankowicz, Even; Urfi Dhiya?ulhaq, Naufal; others",The benefits of contributing to the citizen science platform iNaturalist as an identifier,PLoS biology,2022,english,Education/Community Engagement,No,,,,,,,,
KLFEUKIN,"Monge-Nˇjera, Juliˇn; Seas, Carolina",Citizen science and roadkills: trends along project lifespan and comparison of tropical and temperate projects,UNED Research Journal,2018,english,Education/Community Engagement,No,,,,,,,,
LERN5KIA,"Pradhan, Aditya; George, Rohit; Dewan, Sailendra","Documenting butterflies with the help of citizen science in Darjeeling-Sikkim Himalaya, India",Journal of Threatened Taxa,2023,english,"Data Quality/Comparison, Education/Community Engagement, Species Distribution/Range",No,,,,,,,,
LIG2U62W,"Gass, Susan; Mui, Amy; Manning, Paul; Cray, Heather; Gibson, Lara",Exploring the value of a BioBlitz as a biodiversity education tool in a post-secondary environment,Environmental Education Research,2021,english,Education/Community Engagement,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
M4337K43,"de la Cruz, Yazmin Hailen Ugalde; Anaya, Ilse Citlalli Alonso; Aguilar, Beatriz Maruri; Mart≠nez, Mar≠a Magdalena Hernˇndez; Mart≠nez, Emiliano Sˇnchez",Ciencia ciudadana: valiosa herramienta para conocer la biodiversidad del ˇrea silvestre del Jard≠n Botˇnico Regional de Cadereyta,Revista Nthe,2019,spanish,"Education/Community Engagement, Biodiversity/Population Assessment",No,,,,,,,,
M9UX4E82,"Zambrano, Luis; Aronson, Myla FJ; Fernandez, Tania",The consequences of landscape fragmentation on socio-ecological patterns in a rapidly developing urban area: a case study of the National Autonomous University of Mexico,Frontiers in environmental science,2019,english,Education/Community Engagement,No,,,,,,,,
MY5KHMRN,"Tosa, Marie I; Dziedzic, Emily H; Appel, Cara L; Urbina, Jenny; Massey, Aimee; Ruprecht, Joel; Eriksson, Charlotte E; Dolliver, Jane E; Lesmeister, Damon B; Betts, Matthew G; others",The rapid rise of next-generation natural history,Frontiers in Ecology and Evolution,2021,english,Education/Community Engagement,No,,,,,,,,
MYJSWXB7,"Roger, Erin; Kinsela, Andrew S",Science communication is integral to attracting widespread participation in bushfire recovery citizen science,Frontiers in Environmental Science,2023,english,Education/Community Engagement,No,,,,,,,,
NM7YFR9T,"Picard, APD; Giroux, M; Saint-Germain, M; Larriv?e, M","What?s This Bug?? Questions from the Public Provide Relevant Information on Species Distribution and Human?Insect Interactions. Insects 2021, 12, 921",Insects,2021,english,"Data Quality/Comparison, Education/Community Engagement",No,,,,,,,,
NPS7XCPZ,"Carney, Ryan M; Mapes, Connor; Low, Russanne D; Long, Alex; Bowser, Anne; Durieux, David; Rivera, Karlene; Dekramanjian, Berj; Bartumeus, Frederic; Guerrero, Daniel; others",Integrating global citizen science platforms to enable next-generation surveillance of invasive and vector mosquitoes,Insects,2022,english,Education/Community Engagement,No,,,,,,,,
NYIG93Z3,"Salmon, Rhian A; Rammell, Samuel; Emeny, Myfanwy T; Hartley, Stephen","Citizens, scientists, and enablers: A tripartite model for citizen science projects",Diversity,2021,english,Education/Community Engagement,No,,,,,,,,
P4UEI32L,"Wallace, Robert; Flores-Turdera, Cecilia; Garitano-Zavala, ?lvaro; Gõmez, M Isabel; Jurado, Cynthya; Maldonado, Carla; Molina, Carlos; Salinas, Elvira; Torrico, Omar",Reto Ciudad Naturaleza y NaturaLista: Una oportunidad fantˇstica para la implementaciõn de la ciencia ciudadana,Ecolog≠a en Bolivia,2019,spanish,Education/Community Engagement,Yes,Yes,Yes,No,No,No,No,No,No
PAKU4LZR,"Preece, Jennifer",Citizen science: New research challenges for human?computer interaction,International Journal of Human-Computer Interaction,2016,english,Education/Community Engagement,No,,,,,,,,
PRX839LD,"Kittelberger, Kyle D; Hendrix, Solomon V; ?ekercio?lu, ?a?an Hakk?",The Value of Citizen Science in Increasing Our Knowledge of Under-Sampled Biodiversity: An Overview of Public Documentation of Auchenorrhyncha and the Hoppers of North Carolina,Frontiers in Environmental Science,2021,english,"Education/Community Engagement, Biodiversity/Population Assessment",No,,,,,,,,
QJW3SEGR,"He, Yurong; Wiggins, Andrea",Implementing an environmental citizen science project: Strategies and concerns from educators? perspectives,International Journal of Environmental & Science Education,2017,english,Education/Community Engagement,No,,,,,,,,
R4SSS8RI,"Genevi?ve, Lester Darryl; Ray, Nicolas; Chappuis, Fran?ois; Alcoba, Gabriel; Mondardini, Maria Rosa; Bolon, Isabelle; Ruiz de Casta?eda, Rafael",Participatory approaches and open data on venomous snakes: A neglected opportunity in the global snakebite crisis?,PLoS neglected tropical diseases,2018,english,"Education/Community Engagement, Other, Species Distribution/Range",No,,,,,,,,
RY9C7GQY,"Gaffar, Aden Arif; Rizkia, Rika Firda; Yulianti, Diana; others",Utilizing The iNaturalist Application for Biology Research and Learning,Jurnal Mangifera Edu,2023,english,Education/Community Engagement,No,,,,,,,,
RZPC4NLX,"Soroye, Peter; Edwards, Brandon PM; Buxton, Rachel T; Ethier, Jeffrey P; Frempong-Manso, Acacia; Keefe, Hannah E; Berberi, Albana; Roach-Krajewski, Maisy; Binley, Allison D; Vincent, Jaimie G; others",The risks and rewards of community science for threatened species monitoring,Conservation Science and Practice,2022,english,"Species Distribution/Range, Data Quality/Comparison, Education/Community Engagement",No,,,,,,,,
UQQYPBDK,"Chozas, Sergio; Nunes, Alice; Serrano, Helena C; Ascens?o, Fernando; Tapia, Susana; Mˇguas, Cristina; Branquinho, Cristina",Rescuing Botany: using citizen-science and mobile apps in the classroom and beyond,npj Biodiversity,2023,english,Education/Community Engagement,Yes,Yes,Yes,No,No,Yes,No,No,No
V3R3MCUJ,"Boaventura, Diana; Neves, Ana Teresa; Santos, Jaime; Pereira, Paula Colares; Lu≠s, Cristina; Monteiro, Antõnio; Cartaxana, Alexandra; Hawkins, Stephen John; Caldeira, Maria Filomena; Ponces de Carvalho, Antõnio",Promoting Ocean Literacy in Elementary School Students Through Investigation Activities and Citizen Science,Frontiers in Marine Science,2021,english,Education/Community Engagement,No,,,,,,,,
V5MMP96Z,"Ram≠rez-Bravo, Osvaldo Eric; Camargo-Rivera, Eugenia Evangelina; Jim?nez Gonzˇlez, Alan",Ciencia ciudadana y biodiversidad en entornos urbanos: Lecciones aprendidas en la Ciudad de Puebla y su zona conurbada en el centro de M?xico,Cuadernos de Biodiversidad,2022,spanish,"Education/Community Engagement, Species Distribution/Range",No,,,,,,,,
V9YK4L25,"Young, Allison M; van Mantgem, Elizabeth F; Garretson, Alexis; Noel, Christine; Morelli, Toni Lyn",Translational science education through citizen science,Frontiers in Environmental Science,2021,english,"Education/Community Engagement, Climate Change/Environmental Impact, Biodiversity/Population Assessment",Yes,Yes,Yes,Yes,No,Yes,No,No,No
VA2VLJD5,"Yaguana, Dania Dayanara Valencia; Castillo, Guadalupe De las Mercedes Lõpez; Chalˇ, Diego Fernando Mina; Dangles, Olivier Jacques Christian",USO DE LA APP INATURALIST COMO UNA HERRAMIENTA EFICAZ PARA IDENTIFICAR LOS POTENCIALES POLINIZADORES EN LUPINUS MUTABILIS,Revista Recursos Naturales Producciõn y Sostenibilidad,2023,spanish,"Biology/Behavior, Biodiversity/Population Assessment, Education/Community Engagement",No,,,,,,,,
VFG7DV99,"Mˇrquez-Corro, Jos? Ignacio; Garnatje, Teresa; Nualart, Neus",I Biomaratõn de Flora Espa?ola: Ciencia ciudadana para visibilizar la biodiversidad vegetal,"Conservaciõn vegetal, 25 (2021), p. 33-37",2021,spanish,"Education/Community Engagement, Biodiversity/Population Assessment",No,,,,,,,,
WFBESSZT,"Jachowski, David S; Edelman, Andrew J",Advancing small carnivore research and conservation: the Eastern Spotted Skunk Cooperative Study Group model,Southeastern Naturalist,2021,english,"Species Distribution/Range, Education/Community Engagement",No,,,,,,,,
X8Y9DJ7J,"Smith, Haley; Allf, Bradley; Larson, Lincoln; Futch, Sara; Lundgren, Lisa; Pacifici, Lara; Cooper, Caren",Leveraging citizen science in a college classroom to build interest and efficacy for science and the environment,Citizen Science: Theory and Practice,2021,english,Education/Community Engagement,No,,,,,,,,
YDQNUA23,"Aristeidou, Maria; Herodotou, Christothea; Ballard, Heidi L; Young, Alison N; Miller, Annie E; Higgins, Lila; Johnson, Rebecca F",Exploring the participation of young citizen scientists in scientific research: The case of iNaturalist,Plos one,2021,english,"Education/Community Engagement, Data Quality/Comparison",No,,,,,,,,
YTAI46FP,"Sˇnchez-Clavijo, Lina Mar≠a; Mart≠nez-Callejas, Sindy Jineth; Acevedo-Charry, Orlando; Diaz-Pulido, Ang?lica; Gõmez-Valencia, Bibiana; Ocampo-Pe?uela, Natalia; Ocampo, David; Olaya-Rodr≠guez, Mar≠a Helena; Rey-Velasco, Juan Carlos; Soto-Vargas, Carolina; others",Differential reporting of biodiversity in two citizen science platforms during COVID-19 lockdown in Colombia,Biological Conservation,2021,english,Education/Community Engagement,No,,,,,,,,
ZA3YZ85E,"Meeus, Sofie; Silva-Rocha, Iolanda; Adriaens, Tim; Brown, Peter MJ; Chartosia, Niki; Claramunt-Lõpez, Bernat; Martinou, Angeliki F; Pocock, Michael JO; Preda, Cristina; Roy, Helen E; others",More than a Bit of Fun: The Multiple Outcomes of a Bioblitz,BioScience,2023,english,Education/Community Engagement,No,,,,,,,,
ZPLR27TR,"Echeverria, Andres; Ariz, Idoia; Moreno, Judit; Peralta, Javier; Gonzalez, Esther M.",Learning Plant Biodiversity in Nature: The Use of the Citizen-Science Platform iNaturalist as a Collaborative Tool in Secondary Education,SUSTAINABILITY,2021,english,"Biodiversity/Population Assessment, Education/Community Engagement",No,,,,,,,,
ZQSS8ICA,"Varela, Juan Luis Loredo; Sˇnchez, Ana Arˇn",Uso de Naturalista como refuerzo del programa de estudios de la materia Ecolog≠a de bachillerato,Revista Latinoamericana Ogmios,2023,spanish,Education/Community Engagement,No,,,,,,,,
ZXVD3L4Y,"Stevenson, Robert; Merrill, Carl; Burn, Peter",Useful biodiversity data were obtained by novice observers using iNaturalist during college orientation retreats,Citizen Science: Theory and Practice,2021,english,"Data Quality/Comparison, Education/Community Engagement",No,,,,,,,,
